,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,genres
Immortals,/title/tt1253864/?ref_=bo_cso_table_131,931,Immortals,"$83,504,017",2011,32206425,245000000,83504017,143400000,226904017,110.0,R,November,"['Action', 'Drama', 'Fantasy', 'Romance']"
I Can Only Imagine,/title/tt6450186/?ref_=bo_cso_table_132,932,I Can Only Imagine,"$83,482,352",2018,17108914,245000000,83482352,2604529,86086881,110.0,PG,March,"['Biography', 'Drama', 'Family', 'Music']"
Apocalypse Now,/title/tt0078788/?ref_=bo_cso_table_133,933,Apocalypse Now,"$83,471,511",1979,118558,245000000,83471511,8672994,92144505,147.0,R,August,"['Drama', 'Mystery', 'War']"
Airplane!,/title/tt0080339/?ref_=bo_cso_table_134,934,Airplane!,"$83,453,539",1980,3500000,245000000,83453539,83453539,0,88.0,,June,['Comedy']
Patriot Games,/title/tt0105112/?ref_=bo_cso_table_135,935,Patriot Games,"$83,351,587",1992,18511191,245000000,83351587,94700000,178051587,117.0,R,June,"['Action', 'Thriller']"
Saving Mr. Banks,/title/tt2140373/?ref_=bo_cso_table_136,936,Saving Mr. Banks,"$83,301,580",2013,413373,245000000,83301580,34566404,117867984,125.0,PG-13,November,"['Biography', 'Comedy', 'Drama']"
Smallfoot,/title/tt6182908/?ref_=bo_cso_table_137,937,Smallfoot,"$83,240,103",2018,23045635,245000000,83240103,130800000,214040103,96.0,PG,September,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']"
Good Boys,/title/tt6977338/?ref_=bo_cso_table_138,938,Good Boys,"$83,140,306",2019,21402605,245000000,83140306,27896926,111037232,90.0,R,August,"['Adventure', 'Comedy']"
Valkyrie,/title/tt0985699/?ref_=bo_cso_table_139,939,Valkyrie,"$83,077,833",2008,21027007,245000000,83077833,118467684,201545517,121.0,PG-13,December,"['Drama', 'History', 'Thriller', 'War']"
Brokeback Mountain,/title/tt0388795/?ref_=bo_cso_table_140,940,Brokeback Mountain,"$83,043,761",2005,547425,245000000,83043761,95018998,178062759,134.0,R,December,"['Drama', 'Romance']"
Turbo,/title/tt1860353/?ref_=bo_cso_table_141,941,Turbo,"$83,028,128",2013,21312625,245000000,83028128,199542554,282570682,96.0,PG,July,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi', 'Sport']"
Disclosure,/title/tt0109635/?ref_=bo_cso_table_142,942,Disclosure,"$83,015,089",1994,10068126,245000000,83015089,131000000,214015089,128.0,R,December,"['Drama', 'Thriller']"
Charlotte's Web,/title/tt0413895/?ref_=bo_cso_table_143,943,Charlotte's Web,"$82,985,708",2006,11457353,245000000,82985708,65978114,148963822,97.0,G,December,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Monster-in-Law,/title/tt0369735/?ref_=bo_cso_table_144,944,Monster-in-Law,"$82,931,301",2005,24000000,245000000,82931301,72526026,155457327,101.0,PG-13,May,"['Comedy', 'Romance']"
Are We There Yet?,/title/tt0368578/?ref_=bo_cso_table_145,945,Are We There Yet?,"$82,674,398",2005,18575214,245000000,82674398,15244265,97918663,95.0,PG,January,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']"
Days of Thunder,/title/tt0099371/?ref_=bo_cso_table_146,946,Days of Thunder,"$82,670,733",1990,15490445,245000000,82670733,75250000,157920733,107.0,,June,"['Action', 'Drama', 'Sport']"
Freddy vs. Jason,/title/tt0329101/?ref_=bo_cso_table_147,947,Freddy vs. Jason,"$82,622,655",2003,36400000,245000000,82622655,34009973,116632628,97.0,R,August,"['Action', 'Horror']"
Star Trek: The Motion Picture,/title/tt0079945/?ref_=bo_cso_table_148,948,Star Trek: The Motion Picture,"$82,604,699",1979,11926421,245000000,82604699,82604699,0,132.0,G,December,"['Adventure', 'Mystery', 'Sci-Fi']"
The Descendants,/title/tt1033575/?ref_=bo_cso_table_149,949,The Descendants,"$82,584,160",2011,1190096,245000000,82584160,94659025,177243185,115.0,R,November,"['Comedy', 'Drama']"
Cheaper by the Dozen 2,/title/tt0452598/?ref_=bo_cso_table_150,950,Cheaper by the Dozen 2,"$82,571,173",2005,9309387,245000000,82571173,47583395,130154568,94.0,PG,December,"['Adventure', 'Comedy', 'Family']"
Mr. Holland's Opus,/title/tt0113862/?ref_=bo_cso_table_151,951,Mr. Holland's Opus,"$82,569,971",1995,14466,245000000,82569971,23700000,106269971,143.0,PG,December,"['Drama', 'Music']"
Bram Stoker's Dracula,/title/tt0103874/?ref_=bo_cso_table_152,952,Bram Stoker's Dracula,"$82,522,790",1992,30521679,245000000,82522790,133339902,215862692,128.0,R,November,['Horror']
Fried Green Tomatoes,/title/tt0101921/?ref_=bo_cso_table_153,953,Fried Green Tomatoes,"$82,418,501",1991,105317,245000000,82418501,37000000,119418501,130.0,,December,['Drama']
Let's Be Cops,/title/tt1924435/?ref_=bo_cso_table_154,954,Let's Be Cops,"$82,390,774",2014,17813722,245000000,82390774,55834177,138224951,104.0,R,August,"['Action', 'Comedy', 'Crime']"
Blade II,/title/tt0187738/?ref_=bo_cso_table_155,955,Blade II,"$82,348,319",2002,32528016,245000000,82348319,72661713,155010032,117.0,R,March,"['Action', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller']"
Beowulf,/title/tt0442933/?ref_=bo_cso_table_156,956,Beowulf,"$82,280,579",2007,27515871,245000000,82280579,114113166,196393745,115.0,PG-13,November,"['Action', 'Adventure', 'Animation', 'Fantasy']"
Bridge to Terabithia,/title/tt0398808/?ref_=bo_cso_table_157,957,Bridge to Terabithia,"$82,272,442",2007,22564612,245000000,82272442,55314621,137587063,96.0,PG,February,"['Drama', 'Family', 'Fantasy']"
The Pink Panther,/title/tt0383216/?ref_=bo_cso_table_158,958,The Pink Panther,"$82,226,474",2006,20220412,245000000,82226474,81889423,164115897,93.0,PG,February,"['Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']"
Teenage Mutant Ninja Turtles: Out of the Shadows,/title/tt3949660/?ref_=bo_cso_table_159,959,Teenage Mutant Ninja Turtles: Out of the Shadows,"$82,051,601",2016,35316382,245000000,82051601,163572247,245623848,112.0,PG-13,June,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
The Post,/title/tt6294822/?ref_=bo_cso_table_160,960,The Post,"$81,903,458",2017,526011,245000000,81903458,97866009,179769467,116.0,PG-13,December,['Drama']
Alien,/title/tt0078748/?ref_=bo_cso_table_161,961,Alien,"$81,900,459",1979,3527881,245000000,81900459,24385063,106285522,117.0,R,May,"['Horror', 'Sci-Fi']"
Jaws 2,/title/tt0077766/?ref_=bo_cso_table_162,962,Jaws 2,"$81,766,007",1978,9866023,245000000,81766007,106118000,187884007,116.0,,June,"['Adventure', 'Horror', 'Thriller']"
Maze Runner: The Scorch Trials,/title/tt4046784/?ref_=bo_cso_table_163,963,Maze Runner: The Scorch Trials,"$81,697,192",2015,30316510,245000000,81697192,230598864,312296056,131.0,PG-13,September,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Heaven Can Wait,/title/tt0077663/?ref_=bo_cso_table_164,964,Heaven Can Wait,"$81,640,278",1978,3652486,245000000,81640278,81640278,0,101.0,,June,"['Comedy', 'Fantasy', 'Romance', 'Sport']"
Eight Below,/title/tt0397313/?ref_=bo_cso_table_165,965,Eight Below,"$81,612,565",2006,20188176,245000000,81612565,38843429,120455994,,PG,February,"['Adventure', 'Drama', 'Family']"
MASH,/title/tt0066026/?ref_=bo_cso_table_166,966,MASH,"$81,600,000",1970,3500000,245000000,81600000,81600000,0,116.0,R,January,"['Comedy', 'Drama', 'War']"
Unstoppable,/title/tt0477080/?ref_=bo_cso_table_167,967,Unstoppable,"$81,562,942",2010,22688457,245000000,81562942,86242524,167805466,98.0,PG-13,November,"['Action', 'Thriller']"
Payback,/title/tt0120784/?ref_=bo_cso_table_168,968,Payback,"$81,526,121",1999,21221526,245000000,81526121,80100000,161626121,100.0,R,February,"['Action', 'Crime', 'Drama', 'Thriller']"
Ted 2,/title/tt2637276/?ref_=bo_cso_table_169,969,Ted 2,"$81,476,385",2015,33507870,245000000,81476385,134387221,215863606,115.0,R,June,['Comedy']
The Talented Mr. Ripley,/title/tt0134119/?ref_=bo_cso_table_170,970,The Talented Mr. Ripley,"$81,298,265",1999,12738237,245000000,81298265,47500000,128798265,139.0,R,December,"['Crime', 'Drama', 'Thriller']"
School of Rock,/title/tt0332379/?ref_=bo_cso_table_171,971,School of Rock,"$81,261,177",2003,19622714,245000000,81261177,49834813,131095990,109.0,PG-13,October,"['Comedy', 'Music']"
Police Academy,/title/tt0087928/?ref_=bo_cso_table_172,972,Police Academy,"$81,198,894",1984,8570007,245000000,81198894,81198894,0,96.0,,March,['Comedy']
Snow Dogs,/title/tt0281373/?ref_=bo_cso_table_173,973,Snow Dogs,"$81,172,560",2002,17814259,245000000,81172560,33862530,115035090,99.0,PG,January,"['Adventure', 'Comedy', 'Family', 'Sport']"
21,/title/tt0478087/?ref_=bo_cso_table_174,974,21,"$81,159,365",2008,24105943,245000000,81159365,78649005,159808370,123.0,PG-13,March,"['Crime', 'Drama', 'History', 'Thriller']"
While You Were Sleeping,/title/tt0114924/?ref_=bo_cso_table_175,975,While You Were Sleeping,"$81,057,016",1995,9288915,245000000,81057016,101000000,182057016,103.0,PG,April,"['Comedy', 'Drama', 'Romance']"
Congo,/title/tt0112715/?ref_=bo_cso_table_176,976,Congo,"$81,022,101",1995,24642539,245000000,81022101,71000000,152022101,109.0,PG-13,June,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']"
The Notebook,/title/tt0332280/?ref_=bo_cso_table_177,977,The Notebook,"$81,001,787",2004,13464745,245000000,81001787,36813122,117814909,123.0,PG-13,June,"['Drama', 'Romance']"
Jimmy Neutron: Boy Genius,/title/tt0268397/?ref_=bo_cso_table_178,978,Jimmy Neutron: Boy Genius,"$80,936,232",2001,13832786,245000000,80936232,22056304,102992536,82.0,,December,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']"
Another 48 Hrs.,/title/tt0099044/?ref_=bo_cso_table_179,979,Another 48 Hrs.,"$80,818,974",1990,19475559,245000000,80818974,72700000,153518974,93.0,,June,"['Action', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Moonstruck,/title/tt0093565/?ref_=bo_cso_table_180,980,Moonstruck,"$80,640,528",1987,127599,245000000,80640528,80640528,0,102.0,,December,"['Comedy', 'Drama', 'Romance']"
Eat Pray Love,/title/tt0879870/?ref_=bo_cso_table_181,981,Eat Pray Love,"$80,574,010",2010,23104523,245000000,80574010,124020006,204594016,133.0,PG-13,August,"['Biography', 'Drama', 'Romance']"
The Texas Chainsaw Massacre,/title/tt0324216/?ref_=bo_cso_table_182,982,The Texas Chainsaw Massacre,"$80,571,655",2003,29100000,245000000,80571655,26792250,107363905,98.0,R,October,['Horror']
Zookeeper,/title/tt1222817/?ref_=bo_cso_table_183,983,Zookeeper,"$80,360,843",2011,20065617,245000000,80360843,89491916,169852759,102.0,PG,July,"['Comedy', 'Family', 'Fantasy', 'Romance']"
Alien vs. Predator,/title/tt0370263/?ref_=bo_cso_table_184,984,Alien vs. Predator,"$80,282,231",2004,38291056,245000000,80282231,97144859,177427090,101.0,PG-13,August,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']"
What Happens in Vegas,/title/tt1033643/?ref_=bo_cso_table_185,985,What Happens in Vegas,"$80,277,646",2008,20172474,245000000,80277646,139097916,219375562,99.0,PG-13,May,"['Comedy', 'Romance']"
The Dukes of Hazzard,/title/tt0377818/?ref_=bo_cso_table_186,986,The Dukes of Hazzard,"$80,270,227",2005,30675314,245000000,80270227,30799288,111069515,104.0,PG-13,August,['Comedy']
The Wedding Singer,/title/tt0120888/?ref_=bo_cso_table_187,987,The Wedding Singer,"$80,245,725",1998,18865080,245000000,80245725,43061262,123306987,97.0,PG-13,February,"['Comedy', 'Music', 'Romance']"
Saw III,/title/tt0489270/?ref_=bo_cso_table_188,988,Saw III,"$80,238,724",2006,33610391,245000000,80238724,84635551,164874275,108.0,R,October,"['Crime', 'Horror', 'Mystery', 'Thriller']"
The Mummy,/title/tt2345759/?ref_=bo_cso_table_189,989,The Mummy,"$80,227,895",2017,31688375,245000000,80227895,329003712,409231607,111.0,PG-13,June,"['Action', 'Adventure', 'Fantasy', 'Thriller']"
Disturbia,/title/tt0486822/?ref_=bo_cso_table_190,990,Disturbia,"$80,209,692",2007,22224982,245000000,80209692,37904528,118114220,105.0,PG-13,April,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Nacho Libre,/title/tt0457510/?ref_=bo_cso_table_191,991,Nacho Libre,"$80,197,993",2006,28309599,245000000,80197993,19057467,99255460,92.0,PG,June,"['Comedy', 'Family', 'Sport']"
Jumper,/title/tt0489099/?ref_=bo_cso_table_192,992,Jumper,"$80,172,128",2008,27354808,245000000,80172128,144959985,225132113,88.0,PG-13,February,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Goosebumps,/title/tt1051904/?ref_=bo_cso_table_193,993,Goosebumps,"$80,080,379",2015,23618556,245000000,80080379,78181045,158261424,103.0,PG,October,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror']"
Jack Reacher,/title/tt0790724/?ref_=bo_cso_table_194,994,Jack Reacher,"$80,070,736",2012,15210156,245000000,80070736,138269859,218340595,130.0,PG-13,December,"['Action', 'Thriller']"
Cloverfield,/title/tt1060277/?ref_=bo_cso_table_195,995,Cloverfield,"$80,048,433",2008,40058229,245000000,80048433,92345747,172394180,85.0,PG-13,January,"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
Footloose,/title/tt0087277/?ref_=bo_cso_table_196,996,Footloose,"$80,035,402",1984,8556935,245000000,80035402,3662,80039064,107.0,,February,"['Drama', 'Music', 'Romance']"
Dear John,/title/tt0989757/?ref_=bo_cso_table_197,997,Dear John,"$80,014,842",2010,30468614,245000000,80014842,34969824,114984666,108.0,PG-13,February,"['Drama', 'Romance', 'War']"
Men in Black: International,/title/tt2283336/?ref_=bo_cso_table_198,998,Men in Black: International,"$80,001,807",2019,30035838,245000000,80001807,173888894,253890701,114.0,PG-13,June,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
A Star Is Born,/title/tt0075265/?ref_=bo_cso_table_199,999,A Star Is Born,"$80,000,000",1976,0,245000000,80000000,80000000,0,139.0,,December,"['Drama', 'Music', 'Romance']"
Knowing,/title/tt0448011/?ref_=bo_cso_table_200,"1,000",Knowing,"$79,957,634",2009,24604751,245000000,79957634,103700864,183658498,121.0,PG-13,May,"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
