,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,genres
Django Unchained,/title/tt1853728/?ref_=bo_cso_table_126,326,Django Unchained,"$162,805,434",2012,30122888,245000000,162805434,262562804,425368238,165.0,R,December,"['Drama', 'Western']"
A Bug's Life,/title/tt0120623/?ref_=bo_cso_table_127,327,A Bug's Life,"$162,798,565",1998,291121,245000000,162798565,200460294,363258859,95.0,,November,"['Adventure', 'Animation', 'Comedy', 'Family']"
Jason Bourne,/title/tt4196776/?ref_=bo_cso_table_128,328,Jason Bourne,"$162,434,410",2016,59215365,245000000,162434410,253050504,415484914,123.0,PG-13,July,"['Action', 'Thriller']"
Grown Ups,/title/tt1375670/?ref_=bo_cso_table_129,329,Grown Ups,"$162,001,186",2010,40506562,245000000,162001186,109456115,271457301,102.0,PG-13,June,['Comedy']
The Waterboy,/title/tt0120484/?ref_=bo_cso_table_130,330,The Waterboy,"$161,491,646",1998,39414071,245000000,161491646,24500000,185991646,90.0,PG-13,November,"['Comedy', 'Sport']"
Ice Age: Continental Drift,/title/tt1667889/?ref_=bo_cso_table_131,331,Ice Age: Continental Drift,"$161,321,843",2012,46629259,245000000,161321843,715922939,877244782,88.0,PG,June,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Straight Outta Compton,/title/tt1398426/?ref_=bo_cso_table_132,332,Straight Outta Compton,"$161,197,785",2015,60200180,245000000,161197785,40437206,201634991,147.0,R,August,"['Biography', 'Drama', 'History', 'Music']"
Die Another Day,/title/tt0246460/?ref_=bo_cso_table_133,333,Die Another Day,"$160,942,139",2002,47072040,245000000,160942139,271028977,431971116,133.0,PG-13,November,"['Action', 'Adventure', 'Thriller']"
Shark Tale,/title/tt0307453/?ref_=bo_cso_table_134,334,Shark Tale,"$160,861,908",2004,47604606,245000000,160861908,213721971,374583879,90.0,PG,September,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
How to Train Your Dragon: The Hidden World,/title/tt2386490/?ref_=bo_cso_table_135,335,How to Train Your Dragon: The Hidden World,"$160,799,505",2019,55022245,245000000,160799505,363584083,524383588,104.0,PG,January,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']"
The Heat,/title/tt2404463/?ref_=bo_cso_table_136,336,The Heat,"$159,582,188",2013,39115043,245000000,159582188,70348583,229930771,117.0,R,February,"['Action', 'Comedy', 'Crime']"
Fantastic Beasts: The Crimes of Grindelwald,/title/tt4123430/?ref_=bo_cso_table_137,337,Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901",2018,62163104,245000000,159555901,495300000,654855901,134.0,PG-13,October,"['Adventure', 'Family', 'Fantasy']"
Halloween,/title/tt1502407/?ref_=bo_cso_table_138,338,Halloween,"$159,342,015",2018,76221545,245000000,159342015,96272926,255614941,106.0,R,October,"['Crime', 'Horror', 'Thriller']"
The Sound of Music,/title/tt0059742/?ref_=bo_cso_table_139,339,The Sound of Music,"$159,287,539",1965,8200000,245000000,159287539,140790,159428329,172.0,,March,"['Biography', 'Drama', 'Family', 'Musical', 'Romance']"
1917,/title/tt8579674/?ref_=bo_cso_table_140,340,1917,"$159,227,644",2019,576216,245000000,159227644,225679098,384906742,119.0,R,December,"['Drama', 'Thriller', 'War']"
The Secret Life of Pets 2,/title/tt5113040/?ref_=bo_cso_table_141,341,The Secret Life of Pets 2,"$158,874,395",2019,46652680,245000000,158874395,271176898,430051293,86.0,PG,May,"['Adventure', 'Animation', 'Comedy', 'Family']"
Star Trek Beyond,/title/tt2660888/?ref_=bo_cso_table_142,342,Star Trek Beyond,"$158,848,340",2016,59253211,245000000,158848340,184623476,343471816,122.0,PG-13,July,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
The Firm,/title/tt0106918/?ref_=bo_cso_table_143,343,The Firm,"$158,348,367",1993,25400000,245000000,158348367,111900000,270248367,154.0,R,July,"['Drama', 'Mystery', 'Thriller']"
The Longest Yard,/title/tt0398165/?ref_=bo_cso_table_144,344,The Longest Yard,"$158,119,460",2005,47606480,245000000,158119460,33347096,191466556,113.0,PG-13,May,"['Comedy', 'Crime', 'Sport']"
X-Men,/title/tt0120903/?ref_=bo_cso_table_145,345,X-Men,"$157,299,718",2000,54471475,245000000,157299718,139039810,296339528,104.0,PG-13,July,"['Action', 'Adventure', 'Sci-Fi']"
Scary Movie,/title/tt0175142/?ref_=bo_cso_table_146,346,Scary Movie,"$157,019,771",2000,42346669,245000000,157019771,121000000,278019771,88.0,R,July,['Comedy']
Fatal Attraction,/title/tt0093010/?ref_=bo_cso_table_147,347,Fatal Attraction,"$156,645,693",1987,7602740,245000000,156645693,163500000,320145693,119.0,,September,"['Drama', 'Thriller']"
Who Framed Roger Rabbit,/title/tt0096438/?ref_=bo_cso_table_148,348,Who Framed Roger Rabbit,"$156,452,370",1988,11226239,245000000,156452370,173351588,329803958,104.0,,June,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Mystery']"
The Sting,/title/tt0070735/?ref_=bo_cso_table_149,349,The Sting,"$156,000,000",1973,0,245000000,156000000,156000000,0,129.0,,December,"['Comedy', 'Crime', 'Drama']"
What Lies Beneath,/title/tt0161081/?ref_=bo_cso_table_150,350,What Lies Beneath,"$155,464,351",2000,29702959,245000000,155464351,135956000,291420351,130.0,PG-13,July,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']"
X-Men: Apocalypse,/title/tt3385516/?ref_=bo_cso_table_151,351,X-Men: Apocalypse,"$155,442,489",2016,65769562,245000000,155442489,388491616,543934105,144.0,PG-13,May,"['Action', 'Adventure', 'Sci-Fi']"
The Mummy,/title/tt0120616/?ref_=bo_cso_table_152,352,The Mummy,"$155,385,488",1999,43369635,245000000,155385488,260547918,409011675,124.0,PG-13,May,"['Action', 'Adventure', 'Fantasy']"
Snow White and the Huntsman,/title/tt1735898/?ref_=bo_cso_table_153,353,Snow White and the Huntsman,"$155,332,381",2012,56217700,245000000,155332381,241260448,396592829,127.0,PG-13,May,"['Action', 'Adventure', 'Drama', 'Fantasy']"
San Andreas,/title/tt2126355/?ref_=bo_cso_table_154,354,San Andreas,"$155,190,832",2015,54588173,245000000,155190832,318800000,473990832,114.0,PG-13,May,"['Action', 'Adventure', 'Thriller']"
Fast & Furious,/title/tt1013752/?ref_=bo_cso_table_155,355,Fast & Furious,"$155,064,265",2009,70950500,245000000,155064265,205300000,360364265,107.0,PG-13,April,"['Action', 'Thriller']"
Over the Hedge,/title/tt0327084/?ref_=bo_cso_table_156,356,Over the Hedge,"$155,019,340",2006,38457003,245000000,155019340,184776550,339795890,83.0,PG,May,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Fantastic Four,/title/tt0120667/?ref_=bo_cso_table_157,357,Fantastic Four,"$154,696,080",2005,56061504,245000000,154696080,178839854,333535934,106.0,PG-13,July,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Horton Hears a Who!,/title/tt0451079/?ref_=bo_cso_table_158,358,Horton Hears a Who!,"$154,529,439",2008,45012998,245000000,154529439,144043360,298572799,86.0,,March,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Mad Max: Fury Road,/title/tt1392190/?ref_=bo_cso_table_159,359,Mad Max: Fury Road,"$154,058,340",2015,45428128,245000000,154058340,221331326,375389666,,R,May,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Jerry Maguire,/title/tt0116695/?ref_=bo_cso_table_160,360,Jerry Maguire,"$153,952,592",1996,17084296,245000000,153952592,119600000,273552592,139.0,R,December,"['Comedy', 'Drama', 'Romance', 'Sport']"
Trolls,/title/tt1679335/?ref_=bo_cso_table_161,361,Trolls,"$153,707,064",2016,46581142,245000000,153707064,193157822,346864886,92.0,PG,October,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']"
Beverly Hills Cop II,/title/tt0092644/?ref_=bo_cso_table_162,362,Beverly Hills Cop II,"$153,665,036",1987,26348555,245000000,153665036,146300000,299965036,100.0,,May,"['Action', 'Comedy', 'Crime', 'Thriller']"
Gremlins,/title/tt0087363/?ref_=bo_cso_table_163,363,Gremlins,"$153,378,102",1984,12511634,245000000,153378102,255041,153633143,106.0,,June,"['Comedy', 'Fantasy', 'Horror']"
Scooby-Doo,/title/tt0267913/?ref_=bo_cso_table_164,364,Scooby-Doo,"$153,294,164",2002,54155312,245000000,153294164,122356539,275650703,89.0,PG,June,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery']"
Cars 3,/title/tt3606752/?ref_=bo_cso_table_165,365,Cars 3,"$152,901,115",2017,53688680,245000000,152901115,231029541,383930656,102.0,G,June,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']"
Sex and the City,/title/tt1000774/?ref_=bo_cso_table_166,366,Sex and the City,"$152,647,258",2008,57038404,245000000,152647258,266118261,418765519,145.0,R,May,"['Comedy', 'Drama', 'Romance']"
Runaway Bride,/title/tt0163187/?ref_=bo_cso_table_167,367,Runaway Bride,"$152,257,509",1999,35055556,245000000,152257509,157202783,309460292,116.0,PG,July,"['Comedy', 'Romance']"
La La Land,/title/tt3783958/?ref_=bo_cso_table_168,368,La La Land,"$151,101,803",2016,881104,245000000,151101803,298185842,449287645,128.0,PG-13,December,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']"
Divergent,/title/tt1840309/?ref_=bo_cso_table_169,369,Divergent,"$150,947,895",2014,54607747,245000000,150947895,137937923,288885818,139.0,PG-13,March,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']"
Rambo: First Blood Part II,/title/tt0089880/?ref_=bo_cso_table_170,370,Rambo: First Blood Part II,"$150,415,432",1985,20176217,245000000,150415432,149985000,300400432,96.0,,May,"['Action', 'Adventure', 'Thriller']"
We're the Millers,/title/tt1723121/?ref_=bo_cso_table_171,371,We're the Millers,"$150,394,119",2013,26419396,245000000,150394119,119600000,269994119,110.0,R,August,"['Adventure', 'Comedy', 'Crime']"
Terminator 3: Rise of the Machines,/title/tt0181852/?ref_=bo_cso_table_172,372,Terminator 3: Rise of the Machines,"$150,371,112",2003,44041440,245000000,150371112,283000000,433371112,109.0,R,July,"['Action', 'Sci-Fi']"
Daddy's Home,/title/tt1528854/?ref_=bo_cso_table_173,373,Daddy's Home,"$150,357,137",2015,38740203,245000000,150357137,92429000,242786137,96.0,PG-13,December,"['Comedy', 'Family']"
G.I. Joe: The Rise of Cobra,/title/tt1046173/?ref_=bo_cso_table_174,374,G.I. Joe: The Rise of Cobra,"$150,201,498",2009,54713046,245000000,150201498,152267519,302469017,118.0,PG-13,August,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Neighbors,/title/tt2004420/?ref_=bo_cso_table_175,375,Neighbors,"$150,157,400",2014,49033915,245000000,150157400,120507734,270665134,97.0,R,May,['Comedy']
American Hustle,/title/tt1800241/?ref_=bo_cso_table_176,376,American Hustle,"$150,117,807",2013,740455,245000000,150117807,101054000,251171807,138.0,R,December,"['Crime', 'Drama']"
Puss in Boots,/title/tt0448694/?ref_=bo_cso_table_177,377,Puss in Boots,"$149,260,504",2011,34077439,245000000,149260504,405726973,554987477,90.0,PG,October,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Mystery']"
Sonic the Hedgehog,/title/tt3794354/?ref_=bo_cso_table_178,378,Sonic the Hedgehog,"$148,974,665",2020,58018348,245000000,148974665,164621905,313596570,99.0,PG,February,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
Les Misérables,/title/tt1707386/?ref_=bo_cso_table_179,379,Les Misérables,"$148,809,770",2012,27281735,245000000,148809770,293000000,441809770,158.0,PG-13,December,"['Drama', 'History', 'Musical', 'Romance', 'War']"
Knocked Up,/title/tt0478311/?ref_=bo_cso_table_180,380,Knocked Up,"$148,768,917",2007,30690990,245000000,148768917,71153500,219922417,129.0,R,June,"['Comedy', 'Romance']"
As Good as It Gets,/title/tt0119822/?ref_=bo_cso_table_181,381,As Good as It Gets,"$148,478,011",1997,12606928,245000000,148478011,165700000,314178011,139.0,PG-13,December,"['Comedy', 'Drama', 'Romance']"
Little Fockers,/title/tt0970866/?ref_=bo_cso_table_182,382,Little Fockers,"$148,438,600",2010,30833665,245000000,148438600,162211985,310650585,98.0,PG-13,December,"['Comedy', 'Romance']"
Megamind,/title/tt1001526/?ref_=bo_cso_table_183,383,Megamind,"$148,415,853",2010,46016833,245000000,148415853,173469912,321885765,95.0,PG,October,"['Action', 'Animation', 'Comedy', 'Family', 'Sci-Fi']"
Hotel Transylvania,/title/tt0837562/?ref_=bo_cso_table_184,384,Hotel Transylvania,"$148,313,048",2012,42522194,245000000,148313048,210062555,358375603,91.0,PG,September,"['Animation', 'Comedy', 'Family', 'Fantasy']"
Talladega Nights: The Ballad of Ricky Bobby,/title/tt0415306/?ref_=bo_cso_table_185,385,Talladega Nights: The Ballad of Ricky Bobby,"$148,213,377",2006,47042215,245000000,148213377,15148718,163362095,108.0,PG-13,August,"['Comedy', 'Sport']"
Gran Torino,/title/tt1205489/?ref_=bo_cso_table_186,386,Gran Torino,"$148,095,302",2008,271720,245000000,148095302,121862926,269958228,116.0,R,December,['Drama']
Lethal Weapon 2,/title/tt0097733/?ref_=bo_cso_table_187,387,Lethal Weapon 2,"$147,253,986",1989,20388800,245000000,147253986,80600000,227853986,114.0,R,July,"['Action', 'Crime', 'Thriller']"
War for the Planet of the Apes,/title/tt3450958/?ref_=bo_cso_table_188,388,War for the Planet of the Apes,"$146,880,162",2017,56262929,245000000,146880162,343839601,490719763,140.0,PG-13,July,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']"
X-Men: First Class,/title/tt1270798/?ref_=bo_cso_table_189,389,X-Men: First Class,"$146,408,305",2011,55101604,245000000,146408305,206208385,352616690,131.0,PG-13,June,"['Action', 'Adventure', 'Sci-Fi']"
Paul Blart: Mall Cop,/title/tt1114740/?ref_=bo_cso_table_190,390,Paul Blart: Mall Cop,"$146,336,178",2009,31832636,245000000,146336178,37012251,183348429,91.0,PG,January,"['Action', 'Comedy', 'Crime', 'Family']"
True Lies,/title/tt0111503/?ref_=bo_cso_table_191,391,True Lies,"$146,282,411",1994,25869770,245000000,146282411,232600000,378882411,141.0,R,July,"['Action', 'Adventure', 'Comedy', 'Thriller']"
Lilo & Stitch,/title/tt0275847/?ref_=bo_cso_table_192,392,Lilo & Stitch,"$145,794,338",2002,35260212,245000000,145794338,127349813,273144151,85.0,PG,June,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']"
The Santa Clause,/title/tt0111070/?ref_=bo_cso_table_193,393,The Santa Clause,"$145,539,357",1994,19321992,245000000,145539357,45000000,189833357,97.0,PG,November,"['Comedy', 'Drama', 'Family', 'Fantasy']"
The Meg,/title/tt4779682/?ref_=bo_cso_table_194,394,The Meg,"$145,443,742",2018,45402195,245000000,145443742,384815731,530259473,113.0,PG-13,August,"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
American Pie 2,/title/tt0252866/?ref_=bo_cso_table_195,395,American Pie 2,"$145,103,595",2001,45117985,245000000,145103595,142450000,287553595,108.0,R,August,['Comedy']
Taken,/title/tt0936501/?ref_=bo_cso_table_196,396,Taken,"$145,000,989",2009,24717037,245000000,145000989,81836771,226837760,90.0,PG-13,February,"['Action', 'Thriller']"
One Hundred and One Dalmatians,/title/tt0055254/?ref_=bo_cso_table_197,397,One Hundred and One Dalmatians,"$144,880,014",1961,0,245000000,144880014,71000000,215880014,79.0,,January,"['Adventure', 'Animation', 'Comedy', 'Family']"
The Great Gatsby,/title/tt1343092/?ref_=bo_cso_table_198,398,The Great Gatsby,"$144,840,419",2013,50085185,245000000,144840419,208801794,353642213,143.0,PG-13,May,"['Drama', 'Romance']"
"I, Robot",/title/tt0343818/?ref_=bo_cso_table_199,399,"I, Robot","$144,801,023",2004,52179887,245000000,144801023,208332875,353133898,115.0,PG-13,July,"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
Lethal Weapon 3,/title/tt0104714/?ref_=bo_cso_table_200,400,Lethal Weapon 3,"$144,731,527",1992,33243086,245000000,144731527,177000000,321731527,118.0,R,May,"['Action', 'Crime', 'Thriller']"
